File name,Text?,Location,Engraving? (of what),Page title,All in english?,Non-english languages,Diagram? (of what)
jerusalem39,Yes,Jerusalem,No,Jerusalem,No,Arabic,No
jerusalem40,Yes,Jerusalem,No,Church of the,No,Latin,No
jersualem41,Yes,Jerusalem,No,Holy Sepulchre,No,Greek,No
jersualem42,Yes,Jerusalem,No,Church of the Holy Sepulchre,No,N/A,Holy Sepulchre
holysepulchreengraving,No,Jerusalem,Church of Holy Sepulchre,Church of the Holy Sepulchre,N/A,N/A,No
jerusalem45,Yes,Jerusalem,No,Church of the Holy Sepulchre,No,Russian (?),No
jerusalem46,Yes,Jerusalem,No,Church of the,Yes,N/A,No
jerusalem47,Yes,Jerusalem,No,The Holy Sepulchre,Yes,N/A,No
jerusalem48,Yes,Jerusalem,No,The Holy Sepulchre,No,Greek,No
jerusalem49,Yes,Jerusalem,No,Ysa Petros,Yes,N/A,No
jerusalem50,Yes,Jerusalem,No,Ysa Petros,Yes,N/A,No
jerusalem51,Yes,Jerusalem,No,The Greek Service,Yes,N/A,No
jerusalem52,Yes,Jerusalem,No,Neapolitan Friar,No,Latin,No
jerusalem53,Yes,Jerusalem,No,Easter Sunday,No,Italian,No
jerusalem54,Yes,Jerusalem,No,The Holy Fire,Yes,N/A,No
jerusalem55,Yes,Jerusalem,No,Castle of the Pisans,Yes,N/A,No
jerusalem56,Yes,Jerusalem,No,Mount Zion,Yes,N/A,No
jerusalem57,Yes,Jerusalem,No,Mount Moriah,Yes,N/A,No
jerusalem58,Yes,Jerusalem,Outer South Wall,The Temple,Yes,N/A,No
jerusalem59,Yes,Jerusalem,No,The Golden Gate,Yes,N/A,No
jerusalem60,Yes,Jerusalem,Grave,Mohammedan Burial ground,Yes,N/A,No
jerusalem61,Yes,Jerusalem,No,Garden of Gethsemane,Yes,N/A,No
jerusalem62,Yes,Jerusalem,No,Tomb of Absalom,Yes,N/A,No
pillarofabsalomengraving,No,Jerusalem,Pillar of Absalom,Pillar of Absalom,N/A,N/A,No
sepuclhreofjehoshapatengraving,No,Jerusalem,Sepulchre of Jehoshaphat,Sepulchre of Jehoshaphat,N/A,N/A,No
